src	tgt
ykrong rong nhu-ne	Y Krông đã uống cái nhà
kon bok mahe tuk-ne-ma	đứa trẻ đã không mang người thầy mới
ykrong pang nhu	Y Krông uống cái nồi
yson dak puon hlao	Y Sơn tìm bốn dòng sông
hrin kata-tao cha-ne	H'Rin đã ăn những con gà
yson bnam hmang	Y Sơn thấy ngọn núi
ybhok padi pei om-ma	Y Bhôk không nấu ba cây lúa
plei kon hmang	bản làng thấy đứa trẻ
rong rong dua tuk	cái nhà mang một cái nhà
dak ako cha-ne	dòng sông đã ăn con chó
hnga pang-tao hmang-ne	H'Nga đã thấy những cái nồi
hnga mi hlao-ne	H'Nga đã tìm người mẹ
krao padi-tao gu	con trâu bắt những cây lúa
ykrong bok-tao prong nhu	Y Krông uống những người thầy to
hrin kata puon cha	H'Rin ăn bốn con gà
mi plei ntik tuk-ne-ma	người mẹ đã không mang bản làng nhỏ
mi brah poh tec-ne	người mẹ đã bán năm khu rừng
pa kata poh cha-ne-ma	người cha đã không ăn năm con gà
miu mi pei ei	con mèo cho ba người mẹ
brah kata-tao ntik hmang-ma	khu rừng không thấy những con gà nhỏ
pa rong prong hlao-ma	người cha không tìm cái nhà to
miu miu ntik gu	con mèo bắt con mèo nhỏ
pang bnam dua hmang-ne-ma	cái nồi đã không thấy một ngọn núi
bok bnam mahe gu-ma	người thầy không bắt ngọn núi mới
hina bnam liem hmang	con cá thấy ngọn núi đẹp
yson ako dua ntik hmang-ma	Y Sơn không thấy một con chó nhỏ
bok rong krah ngui	người thầy làm cái nhà cũ
pang rong dua hmang-ne	cái nồi đã thấy một cái nhà
dak bnam gu-ne	dòng sông đã bắt ngọn núi
ykrong dak mahe tuk	Y Krông mang dòng sông mới
brah plei hlao	khu rừng tìm bản làng
bnam mi ntik cha	ngọn núi ăn người mẹ nhỏ
bok bok liem tec-ne	người thầy đã bán người thầy đẹp
pa brah om	người cha nấu khu rừng
brah dak-tao cha	khu rừng ăn những dòng sông
ybhok bok poh ntik hlao	Y Bhôk tìm năm người thầy nhỏ
kon kata ntik nhu	đứa trẻ uống con gà nhỏ
pa padi krah tuk-ma	người cha không mang cây lúa cũ
kata kata pei cha-ne	con gà đã ăn ba con gà
hling brah puon tec	H'Linh bán bốn khu rừng
ykrong rong-tao cha	Y Krông ăn những cái nhà
mi miu poh prong cha	người mẹ ăn năm con mèo to
bok mi tuk-ne	người thầy đã mang người mẹ
dak miu pei nhu	dòng sông uống ba con mèo
mi dak tuk-ma	người mẹ không mang dòng sông
ybhok hina poh hlao-ma	Y Bhôk không tìm năm con cá
ako pang-tao ei-ne	con chó đã cho những cái nồi
bok bok-tao om-ne	người thầy đã nấu những người thầy
brah mi liem gu-ne	khu rừng đã bắt người mẹ đẹp
pa rong liem gu	người cha bắt cái nhà đẹp
krao bok om-ne-ma	con trâu đã không nấu người thầy
ykrong kon nhu	Y Krông uống đứa trẻ
mi hina hmang-ne	người mẹ đã thấy con cá
ybhok pa-tao ei	Y Bhôk cho những người cha
pa miu gu	người cha bắt con mèo
ybhok mi tuk-ne	Y Bhôk đã mang người mẹ
hina pa tec-ne	con cá đã bán người cha
ybhok bok cha	Y Bhôk ăn người thầy
ykrong rong puon prong om-ne-ma	Y Krông đã không nấu bốn cái nhà to
bok rong prong ei-ne-ma	người thầy đã không cho cái nhà to
hling pa cha	H'Linh ăn người cha
plei hina-tao ei	bản làng cho những con cá
bnam pa om	ngọn núi nấu người cha
yson ako nhu-ne	Y Sơn đã uống con chó
yson pa prong tec-ma	Y Sơn không bán người cha to
hrin miu poh nhu	H'Rin uống năm con mèo
hina bok puon ei	con cá cho bốn người thầy
mi dak puon om	người mẹ nấu bốn dòng sông
pa dak cha	người cha ăn dòng sông
padi miu liem ei	cây lúa cho con mèo đẹp
krao hina-tao om-ne	con trâu đã nấu những con cá
krao kon puon krah hlao-ne	con trâu đã tìm bốn đứa trẻ cũ
padi kon hmang	cây lúa thấy đứa trẻ
krao kon ngui-ne-ma	con trâu đã không làm đứa trẻ
ako mi tec	con chó bán người mẹ
dak pang liem nhu-ne	dòng sông đã uống cái nồi đẹp
hrin hina-tao cha-ne	H'Rin đã ăn những con cá
rong dak ei-ne-ma	cái nhà đã không cho dòng sông
krao brah ei	con trâu cho khu rừng
hling padi gu-ne	H'Linh đã bắt cây lúa
hling dak bar hmang-ne-ma	H'Linh đã không thấy hai dòng sông
hling pang tuk	H'Linh mang cái nồi
ykrong hina krah hmang-ma	Y Krông không thấy con cá cũ
kon pa prong cha	đứa trẻ ăn người cha to
hling pang prong tec-ne	H'Linh đã bán cái nồi to
pang hina-tao ntik ei-ne-ma	cái nồi đã không cho những con cá nhỏ
bnam bnam hmang	ngọn núi thấy ngọn núi
hling miu gu-ne	H'Linh đã bắt con mèo
ykrong mi nhu	Y Krông uống người mẹ
kon hina hlao-ne	đứa trẻ đã tìm con cá
ybhok bok ngui	Y Bhôk làm người thầy
pa miu tec-ne	người cha đã bán con mèo
ybhok rong ntik ngui-ne	Y Bhôk đã làm cái nhà nhỏ
rong brah om-ne	cái nhà đã nấu khu rừng
hina plei dua tuk	con cá mang một bản làng
kon bok-tao ei	đứa trẻ cho những người thầy
yson kata-tao ei	Y Sơn cho những con gà
bnam padi cha	ngọn núi ăn cây lúa
kata krao liem gu-ne	con gà đã bắt con trâu đẹp
brah krao hlao	khu rừng tìm con trâu
brah kon om	khu rừng nấu đứa trẻ
miu bok-tao tuk	con mèo mang những người thầy
ybhok padi-tao tuk-ne	Y Bhôk đã mang những cây lúa
hnga padi tuk-ne	H'Nga đã mang cây lúa
rong bnam-tao prong tec	cái nhà bán những ngọn núi to
hrin bnam-tao nhu	H'Rin uống những ngọn núi
ykrong kon gu-ma	Y Krông không bắt đứa trẻ
padi ako bar ei	cây lúa cho hai con chó
ybhok brah-tao krah hmang-ne	Y Bhôk đã thấy những khu rừng cũ
hrin plei bar ntik cha-ma	H'Rin không ăn hai bản làng nhỏ
kon padi tec	đứa trẻ bán cây lúa
kon plei hmang	đứa trẻ thấy bản làng
padi hina-tao ei	cây lúa cho những con cá
hling brah tuk	H'Linh mang khu rừng
bnam pa poh prong ei	ngọn núi cho năm người cha to
bnam plei ei-ne	ngọn núi đã cho bản làng
yson kata-tao gu	Y Sơn bắt những con gà
ybhok hina pei tec	Y Bhôk bán ba con cá
ykrong pang poh om-ne	Y Krông đã nấu năm cái nồi
pang bok prong ei-ne	cái nồi đã cho người thầy to
krao ako puon nhu-ma	con trâu không uống bốn con chó
dak kon liem hlao	dòng sông tìm đứa trẻ đẹp
yson kata-tao hmang	Y Sơn thấy những con gà
ybhok kata prong hmang-ne	Y Bhôk đã thấy con gà to
kata hina-tao liem hmang-ne	con gà đã thấy những con cá đẹp
hina rong hmang	con cá thấy cái nhà
plei kon dua hlao-ne	bản làng đã tìm một đứa trẻ
plei rong-tao gu	bản làng bắt những cái nhà
ykrong dak-tao mahe hmang-ma	Y Krông không thấy những dòng sông mới
kon kata-tao ngui	đứa trẻ làm những con gà
dak rong cha-ma	dòng sông không ăn cái nhà
ykrong kata tec	Y Krông bán con gà
padi brah krah ei-ne	cây lúa đã cho khu rừng cũ
hling brah ngui-ne	H'Linh đã làm khu rừng
miu pang-tao ei	con mèo cho những cái nồi
padi miu mahe ei	cây lúa cho con mèo mới
yson hina pei hlao-ne	Y Sơn đã tìm ba con cá
padi padi pei tuk-ne	cây lúa đã mang ba cây lúa
rong bnam puon liem hmang-ne	cái nhà đã thấy bốn ngọn núi đẹp
hnga krao tec	H'Nga bán con trâu
krao ako liem om-ma	con trâu không nấu con chó đẹp
bnam ako puon krah om-ne	ngọn núi đã nấu bốn con chó cũ
krao bnam krah nhu	con trâu uống ngọn núi cũ
bok rong ei	người thầy cho cái nhà
hnga plei tec	H'Nga bán bản làng
ako ako bar prong gu	con chó bắt hai con chó to
brah plei ei-ne-ma	khu rừng đã không cho bản làng
hrin plei ei	H'Rin cho bản làng
bnam ako hmang	ngọn núi thấy con chó
hrin ako cha-ma	H'Rin không ăn con chó
kata mi ngui	con gà làm người mẹ
ykrong krao tec-ma	Y Krông không bán con trâu
kata pa-tao cha-ne	con gà đã ăn những người cha
ybhok ako liem om	Y Bhôk nấu con chó đẹp
dak bok-tao gu-ne	dòng sông đã bắt những người thầy
miu kon poh gu	con mèo bắt năm đứa trẻ
hnga kata hmang-ne	H'Nga đã thấy con gà
bok plei nhu	người thầy uống bản làng
yson brah tuk-ne	Y Sơn đã mang khu rừng
miu brah poh cha-ma	con mèo không ăn năm khu rừng
kata ako gu	con gà bắt con chó
padi pang dua liem gu	cây lúa bắt một cái nồi đẹp
kon ako prong tec-ma	đứa trẻ không bán con chó to
kata pa dua om-ma	con gà không nấu một người cha
padi rong liem nhu	cây lúa uống cái nhà đẹp
kon brah puon cha-ne	đứa trẻ đã ăn bốn khu rừng
krao miu-tao hlao	con trâu tìm những con mèo
ykrong padi ngui-ne	Y Krông đã làm cây lúa
kon bok prong om	đứa trẻ nấu người thầy to
bnam hina ngui	ngọn núi làm con cá
yson kata bar hmang-ne	Y Sơn đã thấy hai con gà
pa kon poh liem tuk	người cha mang năm đứa trẻ đẹp
miu brah dua ngui	con mèo làm một khu rừng
pa bnam ntik nhu-ma	người cha không uống ngọn núi nhỏ
pa rong poh hlao	người cha tìm năm cái nhà
kon brah pei ngui-ne	đứa trẻ đã làm ba khu rừng
padi pa dua krah gu-ne	cây lúa đã bắt một người cha cũ
miu ako poh tuk	con mèo mang năm con chó
hrin krao poh tuk-ma	H'Rin không mang năm con trâu
hling dak-tao prong tec	H'Linh bán những dòng sông to
bok brah nhu	người thầy uống khu rừng
hnga hina hmang-ne	H'Nga đã thấy con cá
hling pa pei hmang-ma	H'Linh không thấy ba người cha
plei plei om-ne-ma	bản làng đã không nấu bản làng
hina bok hmang-ne	con cá đã thấy người thầy
yson plei hmang-ne-ma	Y Sơn đã không thấy bản làng
pang dak-tao om	cái nồi nấu những dòng sông
rong bnam pei krah tec	cái nhà bán ba ngọn núi cũ
brah plei poh om-ne	khu rừng đã nấu năm bản làng
hnga plei tuk-ne	H'Nga đã mang bản làng
rong rong dua hmang	cái nhà thấy một cái nhà
pang kata gu-ma	cái nồi không bắt con gà
yson miu gu-ne	Y Sơn đã bắt con mèo
mi pang-tao tec	người mẹ bán những cái nồi
pa dak cha-ne-ma	người cha đã không ăn dòng sông
padi miu ei	cây lúa cho con mèo
hling pa prong ngui-ne	H'Linh đã làm người cha to
kata kon hmang-ne	con gà đã thấy đứa trẻ
ako miu tuk	con chó mang con mèo
hnga krao-tao nhu	H'Nga uống những con trâu
hnga pang-tao hlao-ne-ma	H'Nga đã không tìm những cái nồi
mi plei-tao prong tuk	người mẹ mang những bản làng to
hina kata cha-ne	con cá đã ăn con gà
pang brah tec-ne-ma	cái nồi đã không bán khu rừng
kon kon bar krah hlao-ne-ma	đứa trẻ đã không tìm hai đứa trẻ cũ
hrin plei hlao	H'Rin tìm bản làng
ykrong bok dua om-ne	Y Krông đã nấu một người thầy
brah mi om-ne	khu rừng đã nấu người mẹ
hling kon hlao-ne-ma	H'Linh đã không tìm đứa trẻ
hina dak tec-ne	con cá đã bán dòng sông
miu pa hlao	con mèo tìm người cha
hina hina tec-ne	con cá đã bán con cá
kata krao-tao hmang-ne	con gà đã thấy những con trâu
brah pang hlao-ne	khu rừng đã tìm cái nồi
hnga kata ntik gu-ne	H'Nga đã bắt con gà nhỏ
ybhok ako pei hlao	Y Bhôk tìm ba con chó
brah mi bar gu	khu rừng bắt hai người mẹ
bok kata mahe tuk-ne-ma	người thầy đã không mang con gà mới
brah krao dua liem ngui	khu rừng làm một con trâu đẹp
pa hina om-ma	người cha không nấu con cá
miu bok mahe om-ne	con mèo đã nấu người thầy mới
hnga brah-tao krah ei-ne	H'Nga đã cho những khu rừng cũ
hling padi ntik ei-ma	H'Linh không cho cây lúa nhỏ
ykrong padi-tao ei-ne	Y Krông đã cho những cây lúa
rong miu-tao nhu-ne	cái nhà đã uống những con mèo
yson ako poh om	Y Sơn nấu năm con chó
bok kata bar hmang	người thầy thấy hai con gà
kata hina tec	con gà bán con cá
pang kata krah ei-ne-ma	cái nồi đã không cho con gà cũ
krao krao prong om	con trâu nấu con trâu to
kata miu tec	con gà bán con mèo
ybhok kon cha	Y Bhôk ăn đứa trẻ
ako pa ngui	con chó làm người cha
pa bok-tao liem tuk-ma	người cha không mang những người thầy đẹp
krao pang-tao tec	con trâu bán những cái nồi
plei mi-tao tuk	bản làng mang những người mẹ
hina rong om-ne	con cá đã nấu cái nhà
pang miu dua cha	cái nồi ăn một con mèo
hnga padi om	H'Nga nấu cây lúa
kata dak ei-ne	con gà đã cho dòng sông
krao ako-tao tuk	con trâu mang những con chó
brah krao-tao liem om	khu rừng nấu những con trâu đẹp
dak pang prong ngui	dòng sông làm cái nồi to
krao dak poh liem tuk-ne	con trâu đã mang năm dòng sông đẹp
bnam rong-tao ei-ma	ngọn núi không cho những cái nhà
kata krao tuk	con gà mang con trâu
pang brah ei	cái nồi cho khu rừng
brah hina om-ma	khu rừng không nấu con cá
rong padi hlao-ne	cái nhà đã tìm cây lúa
plei rong ngui-ma	bản làng không làm cái nhà
mi pa puon cha-ma	người mẹ không ăn bốn người cha
kon padi hlao-ne-ma	đứa trẻ đã không tìm cây lúa
pa krao liem om	người cha nấu con trâu đẹp
hnga hina puon ntik nhu-ma	H'Nga không uống bốn con cá nhỏ
kon miu bar nhu-ne	đứa trẻ đã uống hai con mèo
bok krao-tao hmang-ne	người thầy đã thấy những con trâu
yson hina pei krah cha-ne	Y Sơn đã ăn ba con cá cũ
yson mi-tao tec	Y Sơn bán những người mẹ
bnam plei mahe hmang	ngọn núi thấy bản làng mới
hling ako ngui	H'Linh làm con chó
pang mi puon tuk-ne	cái nồi đã mang bốn người mẹ
pang kata puon ntik ei	cái nồi cho bốn con gà nhỏ
ybhok miu-tao ntik hmang-ne	Y Bhôk đã thấy những con mèo nhỏ
miu kon hlao	con mèo tìm đứa trẻ
bok bnam prong tec-ne	người thầy đã bán ngọn núi to
padi bok tuk	cây lúa mang người thầy
ykrong pa puon nhu	Y Krông uống bốn người cha
hling ako-tao ngui	H'Linh làm những con chó
bok pang-tao hlao-ne	người thầy đã tìm những cái nồi
hnga pang-tao om-ne	H'Nga đã nấu những cái nồi
bok bnam liem ei-ne	người thầy đã cho ngọn núi đẹp
hling dak-tao ei-ma	H'Linh không cho những dòng sông
hina kata tec	con cá bán con gà
pa brah prong ei-ne	người cha đã cho khu rừng to
yson rong-tao krah om	Y Sơn nấu những cái nhà cũ
ybhok rong mahe om-ne	Y Bhôk đã nấu cái nhà mới
hling rong-tao hmang	H'Linh thấy những cái nhà
yson bok puon ntik om-ne	Y Sơn đã nấu bốn người thầy nhỏ
hrin dak prong hlao-ne	H'Rin đã tìm dòng sông to
bok padi-tao tec	người thầy bán những cây lúa
kon ako puon gu-ne	đứa trẻ đã bắt bốn con chó
hling brah-tao hmang	H'Linh thấy những khu rừng
brah miu gu	khu rừng bắt con mèo
kon ako dua mahe tec	đứa trẻ bán một con chó mới
miu krao-tao mahe nhu	con mèo uống những con trâu mới
ybhok pa poh cha-ma	Y Bhôk không ăn năm người cha
hrin bnam cha	H'Rin ăn ngọn núi
hina brah dua ei	con cá cho một khu rừng
hling pa-tao gu-ne	H'Linh đã bắt những người cha
hina kata nhu-ne	con cá đã uống con gà
ykrong krao ei-ma	Y Krông không cho con trâu
bok rong-tao gu	người thầy bắt những cái nhà
mi kon-tao hlao-ne	người mẹ đã tìm những đứa trẻ
krao mi bar krah ei-ma	con trâu không cho hai người mẹ cũ
ybhok hina tuk	Y Bhôk mang con cá
hnga padi-tao prong tec-ne-ma	H'Nga đã không bán những cây lúa to
padi kon ngui-ne	cây lúa đã làm đứa trẻ
padi hina-tao om	cây lúa nấu những con cá
hrin dak dua hmang-ma	H'Rin không thấy một dòng sông
hrin rong-tao ei	H'Rin cho những cái nhà
ybhok dak nhu-ne	Y Bhôk đã uống dòng sông
mi kata prong hlao-ne	người mẹ đã tìm con gà to
dak brah cha-ne-ma	dòng sông đã không ăn khu rừng
rong hina krah tuk-ne	cái nhà đã mang con cá cũ
padi pang tec	cây lúa bán cái nồi
miu ako-tao prong tec-ne	con mèo đã bán những con chó to
bok bok cha-ma	người thầy không ăn người thầy
miu dak-tao tec	con mèo bán những dòng sông
hina mi hmang-ne	con cá đã thấy người mẹ
ako padi tec-ne-ma	con chó đã không bán cây lúa
krao ako dua om-ne	con trâu đã nấu một con chó
ybhok plei ngui	Y Bhôk làm bản làng
yson padi-tao hmang-ma	Y Sơn không thấy những cây lúa
hrin pa pei ei-ne-ma	H'Rin đã không cho ba người cha
plei padi-tao om-ne	bản làng đã nấu những cây lúa
hina brah pei tec-ma	con cá không bán ba khu rừng
yson dak bar cha	Y Sơn ăn hai dòng sông
krao bnam mahe tec-ma	con trâu không bán ngọn núi mới
kata krao nhu-ne-ma	con gà đã không uống con trâu
rong rong prong om-ne	cái nhà đã nấu cái nhà to
krao bnam hmang-ma	con trâu không thấy ngọn núi
kata krao bar nhu	con gà uống hai con trâu
bok padi dua ntik ngui	người thầy làm một cây lúa nhỏ
brah rong hmang-ne	khu rừng đã thấy cái nhà
ako plei-tao gu	con chó bắt những bản làng
ybhok pa puon ei	Y Bhôk cho bốn người cha
bnam plei-tao cha-ma	ngọn núi không ăn những bản làng
bok brah ngui	người thầy làm khu rừng
ako ako tec-ne	con chó đã bán con chó
pa dak-tao prong ngui	người cha làm những dòng sông to
hina padi-tao liem hlao-ne	con cá đã tìm những cây lúa đẹp
ako plei prong gu	con chó bắt bản làng to
hrin pa ei	H'Rin cho người cha
pa bnam dua ei-ne	người cha đã cho một ngọn núi
hnga bnam ngui	H'Nga làm ngọn núi
pa ako krah hmang	người cha thấy con chó cũ
miu hina ei-ma	con mèo không cho con cá
bok pa ntik om-ma	người thầy không nấu người cha nhỏ
yson brah nhu-ma	Y Sơn không uống khu rừng
ybhok kata-tao mahe tuk-ne-ma	Y Bhôk đã không mang những con gà mới
pang brah dua hmang-ne	cái nồi đã thấy một khu rừng
krao pang prong tuk	con trâu mang cái nồi to
krao miu ei	con trâu cho con mèo
bnam rong-tao krah tec	ngọn núi bán những cái nhà cũ
kata mi poh liem gu-ne	con gà đã bắt năm người mẹ đẹp
hling hina ngui-ne	H'Linh đã làm con cá
hnga ako-tao ei-ma	H'Nga không cho những con chó
yson ako-tao gu	Y Sơn bắt những con chó
bnam dak ngui-ne	ngọn núi đã làm dòng sông
mi plei bar ntik om	người mẹ nấu hai bản làng nhỏ
kata mi-tao tuk	con gà mang những người mẹ
ako pang hlao-ne	con chó đã tìm cái nồi
ybhok krao-tao hmang-ne	Y Bhôk đã thấy những con trâu
hling mi poh om	H'Linh nấu năm người mẹ
dak pang ngui-ne	dòng sông đã làm cái nồi
ybhok rong-tao hlao-ne	Y Bhôk đã tìm những cái nhà
krao krao ntik nhu-ne	con trâu đã uống con trâu nhỏ
hina pang tuk	con cá mang cái nồi
kon rong nhu	đứa trẻ uống cái nhà
hnga mi nhu	H'Nga uống người mẹ
yson miu gu-ne-ma	Y Sơn đã không bắt con mèo
yson padi krah ei	Y Sơn cho cây lúa cũ
hling bok tuk	H'Linh mang người thầy
hnga miu-tao hlao-ne	H'Nga đã tìm những con mèo
krao kon mahe ngui	con trâu làm đứa trẻ mới
hnga pa poh hlao-ne	H'Nga đã tìm năm người cha
dak bnam bar tuk-ne	dòng sông đã mang hai ngọn núi
bok ako ntik tec-ne-ma	người thầy đã không bán con chó nhỏ
krao brah poh hlao-ne	con trâu đã tìm năm khu rừng
bnam miu nhu	ngọn núi uống con mèo
bok bok prong tuk-ne	người thầy đã mang người thầy to
hrin padi om-ne	H'Rin đã nấu cây lúa
rong ako-tao cha	cái nhà ăn những con chó
hrin brah hmang-ne	H'Rin đã thấy khu rừng
ako rong mahe gu	con chó bắt cái nhà mới
ybhok pang hlao	Y Bhôk tìm cái nồi
ybhok mi mahe ei-ne	Y Bhôk đã cho người mẹ mới
ybhok bnam-tao tuk	Y Bhôk mang những ngọn núi
rong pa prong hmang	cái nhà thấy người cha to
rong mi hlao	cái nhà tìm người mẹ
pang bnam krah tec	cái nồi bán ngọn núi cũ
yson kata-tao tec	Y Sơn bán những con gà
dak dak liem hlao	dòng sông tìm dòng sông đẹp
ykrong dak prong tuk-ne	Y Krông đã mang dòng sông to
pang rong liem ei-ne	cái nồi đã cho cái nhà đẹp
bnam kata poh liem om	ngọn núi nấu năm con gà đẹp
krao padi poh cha-ne	con trâu đã ăn năm cây lúa
krao brah ntik ngui	con trâu làm khu rừng nhỏ
ako krao tuk-ne	con chó đã mang con trâu
pang hina poh ei-ma	cái nồi không cho năm con cá
rong plei dua tec	cái nhà bán một bản làng
ako pang hmang-ne	con chó đã thấy cái nồi
rong krao-tao hmang	cái nhà thấy những con trâu
krao ako mahe tec-ma	con trâu không bán con chó mới
ako bnam dua tec-ma	con chó không bán một ngọn núi
yson dak poh ngui	Y Sơn làm năm dòng sông
kata pang dua ntik tuk	con gà mang một cái nồi nhỏ
hrin pang liem nhu-ne	H'Rin đã uống cái nồi đẹp
kata kon-tao ngui-ne	con gà đã làm những đứa trẻ
bok dak tec	người thầy bán dòng sông
yson pang dua cha-ma	Y Sơn không ăn một cái nồi
bnam ako om	ngọn núi nấu con chó
hina krao bar cha-ne	con cá đã ăn hai con trâu
hnga bok hmang-ma	H'Nga không thấy người thầy
hling krao ei	H'Linh cho con trâu
hrin rong-tao tuk-ne	H'Rin đã mang những cái nhà
rong kata tec-ne	cái nhà đã bán con gà
rong pang liem hlao-ne	cái nhà đã tìm cái nồi đẹp
rong bok nhu	cái nhà uống người thầy
ako bok prong gu-ne	con chó đã bắt người thầy to
hling mi krah cha-ne	H'Linh đã ăn người mẹ cũ
krao krao puon hmang-ne-ma	con trâu đã không thấy bốn con trâu
ako hina-tao nhu-ne	con chó đã uống những con cá
mi miu dua gu-ma	người mẹ không bắt một con mèo
pang hina-tao ntik cha	cái nồi ăn những con cá nhỏ
miu rong krah nhu	con mèo uống cái nhà cũ
ykrong plei krah hmang-ne	Y Krông đã thấy bản làng cũ
plei ako dua gu	bản làng bắt một con chó
brah ako nhu-ne	khu rừng đã uống con chó
ako bok dua prong nhu-ne-ma	con chó đã không uống một người thầy to
krao kon tec	con trâu bán đứa trẻ
rong krao-tao mahe nhu	cái nhà uống những con trâu mới
bnam kata liem hlao-ne	ngọn núi đã tìm con gà đẹp
yson rong mahe ngui-ne-ma	Y Sơn đã không làm cái nhà mới
pa kon bar hlao-ma	người cha không tìm hai đứa trẻ
yson brah ei-ne	Y Sơn đã cho khu rừng
hnga krao om-ne	H'Nga đã nấu con trâu
kon hina bar prong gu	đứa trẻ bắt hai con cá to
plei mi gu-ne-ma	bản làng đã không bắt người mẹ
hling pang-tao krah tec	H'Linh bán những cái nồi cũ
hrin ako prong ei-ma	H'Rin không cho con chó to
ybhok plei-tao cha-ne-ma	Y Bhôk đã không ăn những bản làng
padi bok ei-ne	cây lúa đã cho người thầy
hina pang-tao tuk	con cá mang những cái nồi
pa dak tuk-ma	người cha không mang dòng sông
ybhok pa mahe gu	Y Bhôk bắt người cha mới
kata rong-tao prong tuk	con gà mang những cái nhà to
yson brah pei prong hmang	Y Sơn thấy ba khu rừng to
ykrong pang dua tuk	Y Krông mang một cái nồi
pang pa-tao hlao-ne	cái nồi đã tìm những người cha
pang bnam hmang	cái nồi thấy ngọn núi
ykrong pang-tao hlao-ne	Y Krông đã tìm những cái nồi
brah bok puon nhu-ne	khu rừng đã uống bốn người thầy
bnam rong puon ntik tuk-ne	ngọn núi đã mang bốn cái nhà nhỏ
ykrong padi puon ngui	Y Krông làm bốn cây lúa
ybhok kon hmang-ne	Y Bhôk đã thấy đứa trẻ
ybhok rong puon gu-ne	Y Bhôk đã bắt bốn cái nhà
hling bok bar ngui	H'Linh làm hai người thầy
krao rong-tao gu	con trâu bắt những cái nhà
yson bok hmang-ne	Y Sơn đã thấy người thầy
krao padi puon krah om-ne	con trâu đã nấu bốn cây lúa cũ
ykrong padi-tao ngui	Y Krông làm những cây lúa
hrin plei-tao hmang-ne	H'Rin đã thấy những bản làng
pang kon-tao hlao-ma	cái nồi không tìm những đứa trẻ
padi krao poh krah nhu	cây lúa uống năm con trâu cũ
bok rong-tao tec	người thầy bán những cái nhà
bok plei hmang-ne	người thầy đã thấy bản làng
kon dak cha	đứa trẻ ăn dòng sông
ako padi tuk-ne	con chó đã mang cây lúa
bok dak-tao liem ngui-ne	người thầy đã làm những dòng sông đẹp
kon dak puon krah nhu	đứa trẻ uống bốn dòng sông cũ
kon brah-tao cha	đứa trẻ ăn những khu rừng
miu rong nhu	con mèo uống cái nhà
hina miu dua ei-ma	con cá không cho một con mèo
miu kon gu-ne	con mèo đã bắt đứa trẻ
plei bnam pei hlao	bản làng tìm ba ngọn núi
ako kon puon krah tuk-ne	con chó đã mang bốn đứa trẻ cũ
hina rong pei gu-ne	con cá đã bắt ba cái nhà
kon kon-tao ngui	đứa trẻ làm những đứa trẻ
brah hina prong nhu	khu rừng uống con cá to
ybhok dak-tao nhu	Y Bhôk uống những dòng sông
miu brah-tao gu	con mèo bắt những khu rừng
miu dak tuk	con mèo mang dòng sông
hina plei dua krah ei-ne	con cá đã cho một bản làng cũ
bok pang bar hmang-ne	người thầy đã thấy hai cái nồi
ykrong kata dua krah om	Y Krông nấu một con gà cũ
ako dak-tao mahe nhu	con chó uống những dòng sông mới
hnga brah nhu	H'Nga uống khu rừng
ako rong puon cha	con chó ăn bốn cái nhà
plei bok-tao tuk-ne	bản làng đã mang những người thầy
ykrong bnam cha-ne	Y Krông đã ăn ngọn núi
ykrong krao puon mahe gu-ma	Y Krông không bắt bốn con trâu mới
brah rong bar nhu	khu rừng uống hai cái nhà
krao padi hmang-ne	con trâu đã thấy cây lúa
hling kon prong tuk	H'Linh mang đứa trẻ to
plei padi puon tuk	bản làng mang bốn cây lúa
ako dak prong hlao-ne	con chó đã tìm dòng sông to
miu miu tuk-ne	con mèo đã mang con mèo
bnam krao gu	ngọn núi bắt con trâu
bok bok cha-ne	người thầy đã ăn người thầy
ybhok pa poh hlao-ne	Y Bhôk đã tìm năm người cha
ybhok krao-tao liem hlao-ne	Y Bhôk đã tìm những con trâu đẹp
kon krao pei nhu-ma	đứa trẻ không uống ba con trâu
bnam hina bar ngui-ma	ngọn núi không làm hai con cá
hrin krao hlao	H'Rin tìm con trâu
ybhok rong bar mahe hmang	Y Bhôk thấy hai cái nhà mới
hina ako prong nhu	con cá uống con chó to
ykrong miu tec	Y Krông bán con mèo
yson pang tec	Y Sơn bán cái nồi
bnam krao puon prong ngui	ngọn núi làm bốn con trâu to
ako ako om-ne-ma	con chó đã không nấu con chó
kata krao poh krah gu-ne	con gà đã bắt năm con trâu cũ
yson pa tuk	Y Sơn mang người cha
ykrong krao om-ne	Y Krông đã nấu con trâu
kon mi om-ne	đứa trẻ đã nấu người mẹ
ybhok bnam gu	Y Bhôk bắt ngọn núi
ako rong-tao cha-ne	con chó đã ăn những cái nhà
rong miu-tao krah cha-ma	cái nhà không ăn những con mèo cũ
kata pa liem ei-ne	con gà đã cho người cha đẹp
pa kon puon ntik om	người cha nấu bốn đứa trẻ nhỏ
rong pang-tao om	cái nhà nấu những cái nồi
mi mi dua mahe cha	người mẹ ăn một người mẹ mới
plei kon-tao ngui	bản làng làm những đứa trẻ
ybhok krao-tao cha-ne	Y Bhôk đã ăn những con trâu
dak mi-tao ngui-ne	dòng sông đã làm những người mẹ
bnam kata cha	ngọn núi ăn con gà
yson miu ntik hmang-ne	Y Sơn đã thấy con mèo nhỏ
hrin pa mahe om-ne-ma	H'Rin đã không nấu người cha mới
